माह,डोमेन,क्रम संख्या,गतिविधि का नाम,गतिविधि का विवरण
अप्रैल,मैं हूँ निर्माणकर्ता,1.1,स्थानीय भाषा का शब्दकोश निर्माण,"शिक्षक बच्चों को अपने आस-पास की स्थानीय भाषा एवं बोलचाल के शब्दों को संग्रहित करने के लिए प्रेरित करेंगे और इससे शब्दकोश का निर्माण कराएंगे।"
अप्रैल,मैं हूँ निर्माणकर्ता,1.2,पोस्टर; ग्रीटिंग एवं विभिन्न कार्ड निर्माण,"पुराने शादी कार्ड, चार्ट पेपर एवं अन्य सामग्रियों के माध्यम से हम खूबसूरत पोस्टर/ ग्रीटिंग कार्ड का निर्माण कर सकते हैं। प्रभात फेरी एवं अन्य कार्यक्रमों में इसका प्रयोग किया जा सकता है।"
अप्रैल,मैं हूँ निर्माणकर्ता,1.3,खिलौना निर्माण,"खाली बोतल, माचिस की तीली, रबर, लकड़ी के छोटे टुकड़े आदि ढेरों ऐसी सामग्रियों से हम अनेक छोटे छोटे खिलौने बना सकते हैं एवं पाठ्य पुस्तक में दिए गए गतिविधियों में इसका आसानी से प्रयोग कर सकते हैं।"
अप्रैल,मैं हूँ निर्माणकर्ता,1.4,विभिन्न विषयों पर प्रोजेक्ट निर्माण,"शिक्षक बच्चों को विभिन्न विषयों पर प्रोजेक्ट निर्माण हेतु प्रेरित करेंगे। ऐसे प्रोजेक्ट निर्माण हेतु कम लागत अथवा बेकार के चार्ट पेपर का प्रयोग किया जा सकता है। प्रोजेक्ट निर्माण से बच्चे सरलता से सीखते हैं।"
अप्रैल,मैं हूँ निर्माणकर्ता,1.5,बाल अखबार/पत्रिका बनाना,"बाल पत्रिका एवं अखबार बच्चों के सीखने में काफी मददगार हो सकता है। इसके लिए शिक्षक ‘बाल मन कोना’ का प्रयोग कर सकते हैं।"
अप्रैल,मैं हूँ निर्माणकर्ता,1.6,स्थानीय चित्रकला निर्माण,"बिहार राज्य के स्थानीय चित्रकला जैसे मिथिला की मधुबनी पेंटिंग, भागलपुर का मंजूषा, पटना का टिकुली एवं कोहबर आदि कलाओं से बच्चों को परिचित कराया जा सकता है। इसके लिए समय- समय पर स्थानीय कलाकारों को भी बुलाया जा सकता है।"
अप्रैल,मैं हूँ निर्माणकर्ता,1.7,हस्तशिल्प निर्माण,"हाथों और सरल औजारों की सहायता से बनायी जाने वाली हस्तकला का अपना धार्मिक एवं सांस्कृतिक महत्त्व होता है। बांस या कागज से चटाई, टोकरी आदि का निर्माण बच्चों से करवाया जा सकता है।"
अप्रैल,मैं हूँ निर्माणकर्ता,1.8,टंग ट्विस्टर बनाना और उच्चारण,"जब एक ही तरह के शब्दों से वाक्य बनाकर उसे जल्दी-जल्दी सही उच्चारण के साथ बोलने को कहा जाए तो उसे टंग ट्विस्टर कहते हैं। जैसे - समझ-समझ के समझ को समझो..."
अप्रैल,मैं हूँ निर्माणकर्ता,1.9,पहेली निर्माण और संग्रह,"इस दिन शिक्षक द्वारा छात्रों के साथ मिलकर तरह-तरह के पहेली/बुझौअल का निर्माण, संग्रह कर बच्चों के बीच 'बूझो तो जाने' जैसी गतिविधि आयोजित की जा सकती है।"
अप्रैल,मैं हूँ निर्माणकर्ता,1.10,ऑरगामी,"ऑरगामी वह कला है, जिसमें कागज को कई डिजाइनों में फोल्ड किया जाता है, जिससे एक आकृति बनती है। जापानी भाषा में ‘ओरू’ का मतलब फोल्ड करना और ‘गेमी’ का मतलब पेपर होता है।"
मई,मैं हूँ प्रबंधक/नेतृत्वकर्ता,2.1,कक्षा की सजावट,"इसके अंतर्गत वर्ग कक्ष में पोस्टर, स्माइली, स्टार, प्रख्यात कवियों और लेखकों के कोट्स लगा सकते हैं। कक्षा को एक थीम जैसे हरियाली, इंद्रधनुष, आकाश गंगा आदि पर सजाया जा सकता है।"
मई,मैं हूँ प्रबंधक/नेतृत्वकर्ता,2.2,जिल्दसाजी,"बच्चों को अपनी फटी किताब-कॉपियों को सिलने और उनपर जिल्द लगाने, छाँटाई, गोंद लगाने आदि के तरीकों और उसके लिए ज़रूरी सामग्रियों के बारे में बताया जा सकता है।"
